date,sport,match,option,line,count,card_ids,rows,statuses
2026-06-27,AFL,collingwood magpies vs richmond tigers,richmond tigers +38.5,38.5000,4,AFL-20260627-COLL-RICH;AFL-20260627-COLL-RICH-LIVE1220;AFL-20260627-COLL-RICH-LIVEQ4;AFL-20260627-COLL-RICH-SETTLEDQ4,361;365;371;375,W;W;W;W
2026-06-27,AFL,collingwood magpies vs richmond tigers,combined total under 165.5,165.5000,4,AFL-20260627-COLL-RICH;AFL-20260627-COLL-RICH-LIVE1220;AFL-20260627-COLL-RICH-LIVEQ4;AFL-20260627-COLL-RICH-SETTLEDQ4,362;366;372;376,L;L;L;L
2026-06-27,AFL,collingwood magpies vs richmond tigers,combined total over 165.5,165.5000,4,AFL-20260627-COLL-RICH;AFL-20260627-COLL-RICH-LIVE1220;AFL-20260627-COLL-RICH-LIVEQ4;AFL-20260627-COLL-RICH-SETTLEDQ4,363;367;369;373,W;W;W;W
2026-06-27,AFL,collingwood magpies vs richmond tigers,collingwood magpies -38.5,38.5000,4,AFL-20260627-COLL-RICH;AFL-20260627-COLL-RICH-LIVE1220;AFL-20260627-COLL-RICH-LIVEQ4;AFL-20260627-COLL-RICH-SETTLEDQ4,364;368;370;374,L;L;L;L
