group,rows,W,L,P,VOID,BLANK,other_statuses,accuracy_ex_push,cal_n,cal_mean_probability,cal_observed_rate,cal_bias_p_minus_observed,cal_brier,cal_log_loss
Corners,8,7,1,0,0,0,{},0.875,8,0.7675,0.875,-0.10750000000000004,0.06085,0.2649659327660594
Full-game/team total,21,19,2,0,0,0,{},0.9047619047619048,21,0.6995238095238093,0.9047619047619048,-0.20523809523809544,0.1444714285714286,0.4699088374648427
Handicap/spread,91,53,38,0,0,0,{},0.5824175824175825,91,0.5403296703296704,0.5824175824175825,-0.04208791208791207,0.24050879120879126,0.6738524288093479
Other,2,0,2,0,0,0,{},0,2,0.21,0,0.21,0.045,0.23644389221279924
Phase/innings total,263,131,126,2,2,0,"{""U"":2}",0.5097276264591439,257,0.5064591439688716,0.5097276264591439,-0.0032684824902723397,0.2399898832684827,0.6717772731993454
Player prop,13,8,5,0,0,0,{},0.6153846153846154,13,0.6276923076923077,0.6153846153846154,0.012307692307692242,0.1386,0.4427035979305499
Winner/non-loss,39,28,11,0,0,0,{},0.717948717948718,39,0.6412820512820512,0.717948717948718,-0.07666666666666677,0.13758717948717947,0.4459132409068429
