group,rows,W,L,P,VOID,BLANK,other_statuses,accuracy_ex_push,cal_n,cal_mean_probability,cal_observed_rate,cal_bias_p_minus_observed,cal_brier,cal_log_loss
1,102,66,34,0,1,0,"{""U"":1}",0.66,100,0.6537000000000001,0.66,-0.006299999999999972,0.20962699999999995,0.6055050282760864
2,97,61,35,1,0,0,{},0.6354166666666666,96,0.5989583333333334,0.6354166666666666,-0.03645833333333326,0.21927500000000008,0.6253799800566687
3,96,53,41,1,1,0,{},0.5638297872340425,94,0.5235106382978723,0.5638297872340425,-0.04031914893617028,0.22366702127659574,0.6356603184522935
4,96,44,51,0,0,0,"{""U"":1}",0.4631578947368421,95,0.45042105263157894,0.4631578947368421,-0.012736842105263158,0.1982242105263158,0.5820078093351316
5,15,3,12,0,0,0,{},0.2,15,0.44666666666666666,0.2,0.24666666666666665,0.23506666666666665,0.6635861898620536
6,15,10,5,0,0,0,{},0.6666666666666666,15,0.40466666666666673,0.6666666666666666,-0.2619999999999999,0.3026733333333333,0.8048818527143726
7,8,6,2,0,0,0,{},0.75,8,0.39625,0.75,-0.35375,0.3224875,0.8414320799494881
8,8,3,5,0,0,0,{},0.375,8,0.36749999999999994,0.375,-0.007500000000000062,0.228375,0.6481905278772419
