group,rows,W,L,P,VOID,BLANK,other_statuses,accuracy_ex_push,cal_n,cal_mean_probability,cal_observed_rate,cal_bias_p_minus_observed,cal_brier,cal_log_loss
AFL,44,23,21,0,0,0,{},0.5227272727272727,44,0.5206818181818181,0.5227272727272727,-0.0020454545454545725,0.252565909090909,0.699971418768765
Baseball (other),24,15,9,0,0,0,{},0.625,24,0.5887500000000001,0.625,-0.03624999999999989,0.20977083333333332,0.6103456876200436
Basketball (other),115,60,55,0,0,0,{},0.5217391304347826,115,0.5170434782608696,0.5217391304347826,-0.00469565217391299,0.24041391304347814,0.6720798620459637
Cricket,101,54,43,0,2,0,"{""U"":2}",0.5567010309278351,97,0.5164948453608248,0.5567010309278351,-0.04020618556701028,0.23076494845360826,0.6482833926934584
KBO,12,7,5,0,0,0,{},0.5833333333333334,12,0.5358333333333334,0.5833333333333334,-0.04749999999999999,0.19857499999999997,0.5889090585278721
MLB,36,18,16,2,0,0,{},0.5294117647058824,34,0.5402941176470588,0.5294117647058824,0.010882352941176454,0.20694411764705883,0.6046648591962281
NPB,4,2,2,0,0,0,{},0.5,4,0.55,0.5,0.050000000000000044,0.26065,0.716056031577684
Soccer,81,56,25,0,0,0,{},0.691358024691358,81,0.6182716049382717,0.691358024691358,-0.07308641975308627,0.1488271604938272,0.47285775597531
WNBA,20,11,9,0,0,0,{},0.55,20,0.5035000000000001,0.55,-0.046499999999999986,0.28231500000000004,0.7581432902543562
